# file name, schedulable?, #jobs, #states, #edges, max width, CPU time, memory, timeout, #CPUs, Total Sched
..\tests\temp_058.csv,  1,  11,  12,  11,  0,  0.024000,  0,  4,  59
..\tests\temp_059.csv,  1,  15,  25,  33,  0,  0.117000,  0,  4,  60
..\tests\temp_060.csv,  1,  20,  81,  153,  0,  0.969000,  0,  4,  61
..\tests\temp_061.csv,  1,  25,  166,  339,  0,  3.738000,  0,  4,  62
..\tests\temp_062.csv,  1,  32,  1270,  4383,  0,  174.709000,  0,  4,  63
..\tests\temp_063.csv,  1,  12,  13,  12,  0,  0.032000,  0,  4,  64
..\tests\temp_064.csv,  1,  16,  26,  34,  0,  0.142000,  0,  4,  65
..\tests\temp_065.csv,  1,  11,  12,  11,  0,  0.024000,  0,  4,  66
..\tests\temp_066.csv,  1,  16,  25,  32,  0,  0.128000,  0,  4,  67
..\tests\temp_067.csv,  1,  26,  140,  327,  0,  3.730000,  0,  4,  68
..\tests\temp_068.csv,  1,  16,  27,  36,  0,  0.151000,  0,  4,  69
..\tests\temp_069.csv,  1,  20,  69,  130,  0,  0.758000,  0,  4,  70
..\tests\temp_070.csv,  1,  15,  26,  35,  0,  0.125000,  0,  4,  71
..\tests\temp_071.csv,  1,  32,  492,  1344,  0,  32.490000,  0,  4,  72
..\tests\temp_072.csv,  1,  12,  13,  12,  0,  0.032000,  0,  4,  73
..\tests\temp_073.csv,  1,  21,  64,  108,  0,  0.784000,  0,  4,  74
..\tests\temp_074.csv,  1,  12,  17,  20,  0,  0.046000,  0,  4,  75
..\tests\temp_075.csv,  1,  20,  33,  42,  0,  0.332000,  0,  4,  76
..\tests\temp_076.csv,  1,  14,  20,  24,  0,  0.077000,  0,  4,  77
..\tests\temp_077.csv,  1,  22,  93,  178,  0,  1.408000,  0,  4,  78
..\tests\temp_078.csv,  1,  12,  13,  12,  0,  0.033000,  0,  4,  79
..\tests\temp_079.csv,  1,  15,  23,  29,  0,  0.105000,  0,  4,  80
..\tests\temp_080.csv,  1,  32,  446,  1252,  0,  28.818000,  0,  4,  81
..\tests\temp_081.csv,  1,  29,  355,  902,  0,  15.801000,  0,  4,  82
..\tests\temp_082.csv,  1,  22,  99,  194,  0,  1.479000,  0,  4,  83
..\tests\temp_083.csv,  1,  17,  18,  17,  0,  0.105000,  0,  4,  84
..\tests\temp_084.csv,  1,  23,  77,  123,  0,  1.188000,  0,  4,  85
..\tests\temp_085.csv,  1,  21,  35,  51,  0,  0.399000,  0,  4,  86
..\tests\temp_086.csv,  1,  17,  25,  31,  0,  0.156000,  0,  4,  87
..\tests\temp_087.csv,  1,  27,  144,  308,  0,  4.023000,  0,  4,  88
..\tests\temp_088.csv,  1,  22,  74,  140,  0,  1.014000,  0,  4,  89
..\tests\temp_089.csv,  1,  27,  444,  1176,  0,  17.994000,  0,  4,  90
..\tests\temp_090.csv,  1,  20,  40,  55,  0,  0.409000,  0,  4,  91
..\tests\temp_091.csv,  1,  12,  13,  12,  0,  0.033000,  0,  4,  92
..\tests\temp_092.csv,  1,  21,  74,  127,  0,  0.933000,  0,  4,  93
..\tests\temp_093.csv,  1,  12,  17,  20,  0,  0.044000,  0,  4,  94
..\tests\temp_094.csv,  1,  23,  115,  230,  0,  1.968000,  0,  4,  95
..\tests\temp_095.csv,  1,  32,  622,  1468,  0,  42.094000,  0,  4,  96
..\tests\temp_096.csv,  1,  16,  26,  34,  0,  0.140000,  0,  4,  97
..\tests\temp_097.csv,  1,  20,  62,  114,  0,  0.682000,  0,  4,  98
..\tests\temp_098.csv,  1,  21,  61,  107,  0,  0.742000,  0,  4,  99
..\tests\temp_099.csv,  1,  29,  235,  517,  0,  8.254000,  0,  4,  100
..\tests\temp_100.csv,  1,  28,  148,  301,  0,  4.265000,  0,  4,  101
..\tests\temp_101.csv,  1,  19,  63,  118,  0,  0.629000,  0,  4,  102
..\tests\temp_102.csv,  1,  16,  28,  38,  0,  0.154000,  0,  4,  103
..\tests\temp_103.csv,  1,  21,  75,  135,  0,  0.955000,  0,  4,  104
..\tests\temp_104.csv,  1,  22,  70,  124,  0,  0.985000,  0,  4,  105
..\tests\temp_105.csv,  1,  31,  1082,  3828,  0,  127.182000,  0,  4,  106
..\tests\temp_106.csv,  1,  20,  66,  117,  0,  0.701000,  0,  4,  107
..\tests\temp_107.csv,  1,  12,  17,  20,  0,  0.044000,  0,  4,  108
..\tests\temp_108.csv,  1,  22,  55,  87,  0,  0.771000,  0,  4,  109
..\tests\temp_109.csv,  1,  24,  88,  151,  0,  1.471000,  0,  4,  110
..\tests\temp_110.csv,  1,  24,  96,  166,  0,  1.688000,  0,  4,  111
..\tests\temp_111.csv,  1,  27,  421,  1001,  0,  15.426000,  0,  4,  112
..\tests\temp_112.csv,  1,  16,  21,  24,  0,  0.108000,  0,  4,  113
..\tests\temp_113.csv,  1,  18,  75,  153,  0,  0.667000,  0,  4,  114
..\tests\temp_114.csv,  1,  29,  284,  652,  0,  11.073000,  0,  4,  115
..\tests\temp_115.csv,  1,  32,  540,  1626,  0,  40.267000,  0,  4,  116
..\tests\temp_116.csv,  1,  15,  26,  35,  0,  0.120000,  0,  4,  117
..\tests\temp_117.csv,  1,  21,  59,  99,  0,  0.701000,  0,  4,  118
..\tests\temp_118.csv,  1,  32,  1402,  4860,  0,  196.925000,  0,  4,  119
..\tests\temp_119.csv,  1,  21,  61,  101,  0,  0.729000,  0,  4,  120
..\tests\temp_120.csv,  1,  16,  18,  18,  0,  0.089000,  0,  4,  121
..\tests\temp_121.csv,  1,  22,  83,  152,  0,  1.261000,  0,  4,  122
..\tests\temp_122.csv,  1,  18,  24,  27,  0,  0.168000,  0,  4,  123
..\tests\temp_123.csv,  1,  31,  639,  1955,  0,  47.529000,  0,  4,  124
..\tests\temp_124.csv,  1,  27,  430,  1008,  0,  16.103000,  0,  4,  125
..\tests\temp_125.csv,  1,  17,  42,  64,  0,  0.292000,  0,  4,  126
..\tests\temp_126.csv,  1,  20,  52,  86,  0,  0.544000,  0,  4,  127
..\tests\temp_127.csv,  1,  12,  13,  12,  0,  0.032000,  0,  4,  128
..\tests\temp_128.csv,  1,  17,  31,  40,  0,  0.213000,  0,  4,  129
..\tests\temp_129.csv,  1,  29,  481,  1128,  0,  21.844000,  0,  4,  130
..\tests\temp_130.csv,  1,  22,  62,  107,  0,  0.838000,  0,  4,  131
..\tests\temp_131.csv,  1,  11,  12,  11,  0,  0.024000,  0,  4,  132
..\tests\temp_132.csv,  1,  21,  73,  136,  0,  0.968000,  0,  4,  133
..\tests\temp_133.csv,  1,  12,  13,  12,  0,  0.032000,  0,  4,  134
..\tests\temp_134.csv,  1,  12,  17,  20,  0,  0.045000,  0,  4,  135
