# file name, schedulable?, #jobs, #states, #edges, max width, CPU time, memory, timeout, #CPUs, Total Sched
..\tests\temp_100.csv,  1,  28,  147,  301,  14,  0.050000,  0,  4,  101
..\tests\temp_101.csv,  1,  19,  62,  118,  10,  0.014000,  0,  4,  102
..\tests\temp_102.csv,  1,  16,  27,  38,  3,  0.004000,  0,  4,  103
..\tests\temp_103.csv,  1,  21,  74,  135,  8,  0.017000,  0,  4,  104
..\tests\temp_104.csv,  1,  22,  69,  124,  8,  0.019000,  0,  4,  105
..\tests\temp_105.csv,  1,  31,  1081,  3828,  130,  0.544000,  0,  4,  106
..\tests\temp_106.csv,  1,  20,  65,  117,  10,  0.016000,  0,  4,  107
..\tests\temp_107.csv,  1,  12,  16,  20,  2,  0.002000,  0,  4,  108
..\tests\temp_108.csv,  1,  22,  54,  87,  6,  0.013000,  0,  4,  109
..\tests\temp_109.csv,  1,  24,  87,  151,  11,  0.025000,  0,  4,  110
..\tests\temp_110.csv,  1,  24,  95,  166,  10,  0.025000,  0,  4,  111
..\tests\temp_111.csv,  1,  27,  420,  1001,  43,  0.164000,  0,  4,  112
..\tests\temp_112.csv,  1,  16,  20,  24,  2,  0.003000,  0,  4,  113
..\tests\temp_113.csv,  1,  18,  74,  153,  10,  0.015000,  0,  4,  114
..\tests\temp_114.csv,  1,  29,  283,  652,  28,  0.106000,  0,  4,  115
..\tests\temp_115.csv,  1,  32,  539,  1626,  48,  0.261000,  0,  4,  116
..\tests\temp_116.csv,  1,  15,  25,  35,  4,  0.004000,  0,  4,  117
..\tests\temp_117.csv,  1,  21,  58,  99,  7,  0.014000,  0,  4,  118
..\tests\temp_118.csv,  1,  32,  1401,  4860,  150,  0.725000,  0,  4,  119
..\tests\temp_119.csv,  1,  21,  60,  101,  7,  0.013000,  0,  4,  120
..\tests\temp_120.csv,  1,  16,  17,  18,  2,  0.003000,  0,  4,  121
..\tests\temp_121.csv,  1,  22,  82,  152,  10,  0.021000,  0,  4,  122
..\tests\temp_122.csv,  1,  18,  23,  27,  2,  0.004000,  0,  4,  123
..\tests\temp_123.csv,  1,  31,  638,  1955,  76,  0.279000,  0,  4,  124
..\tests\temp_124.csv,  1,  27,  429,  1030,  55,  0.164000,  0,  4,  125
..\tests\temp_125.csv,  1,  17,  41,  64,  5,  0.007000,  0,  4,  126
..\tests\temp_126.csv,  1,  20,  51,  86,  6,  0.011000,  0,  4,  127
..\tests\temp_127.csv,  1,  12,  12,  12,  1,  0.002000,  0,  4,  128
..\tests\temp_128.csv,  1,  17,  30,  40,  4,  0.005000,  0,  4,  129
..\tests\temp_129.csv,  1,  29,  480,  1131,  56,  0.195000,  0,  4,  130
..\tests\temp_130.csv,  1,  22,  61,  107,  6,  0.014000,  0,  4,  131
..\tests\temp_131.csv,  1,  11,  11,  11,  1,  0.002000,  0,  4,  132
..\tests\temp_132.csv,  1,  21,  72,  136,  9,  0.018000,  0,  4,  133
..\tests\temp_133.csv,  1,  12,  12,  12,  1,  0.001000,  0,  4,  134
..\tests\temp_134.csv,  1,  12,  16,  20,  2,  0.002000,  0,  4,  135
..\tests\temp_135.csv,  1,  30,  352,  763,  38,  0.157000,  0,  4,  136
..\tests\temp_136.csv,  1,  30,  445,  1120,  57,  0.219000,  0,  4,  137
..\tests\temp_137.csv,  1,  32,  968,  3101,  92,  0.501000,  0,  4,  138
..\tests\temp_138.csv,  1,  11,  14,  17,  2,  0.002000,  0,  4,  139
..\tests\temp_139.csv,  1,  17,  30,  42,  4,  0.005000,  0,  4,  140
..\tests\temp_140.csv,  1,  11,  11,  11,  1,  0.001000,  0,  4,  141
..\tests\temp_141.csv,  1,  30,  405,  913,  48,  0.159000,  0,  4,  142
..\tests\temp_142.csv,  1,  18,  40,  64,  4,  0.007000,  0,  4,  143
..\tests\temp_143.csv,  1,  28,  175,  350,  17,  0.062000,  0,  4,  144
